common_name,species_group,latin_name,est_pop,IUCN_abbr,IUCN_category,Trend,domesticated_YN
Christmas Island Pipistrelle,bats,Pipistrellus murrayi,0,EX,Extinct,Steady,FALSE
Jamaican greater funnel-eared bat,bats,Natalus jamaicensis,50,CR,Critically Endangered,Decrease,FALSE
Cuban greater funnel-eared bat,bats,Natalus primus,100,CR,Critically Endangered,Decrease,FALSE
Seychelles Sheath-tailed Bat,bats,Coleura seychellensis,100,CR,Critically Endangered,Decrease,FALSE
Bulmer's fruit bat,bats,Aproteles bulmerae,160,CR,Critically Endangered,Decrease,FALSE
Jamaican flower bat,bats,Phyllonycteris aphylla,250,CR,Critically Endangered,Decrease,FALSE
Flat-headed myotis,bats,Myotis planiceps,250,EN,Endangered,Decrease,FALSE
Bonin Flying Fox,bats,Pteropus pselaphon,300,CR,Critically Endangered,Decrease,FALSE
Arnhem leaf-nosed bat,bats,Hipposideros inornatus,300,VU,Vulnerable,Steady,FALSE
New Georgian Monkey-faced Bat,bats,Pteralopex taki,500,EN,Endangered,Decrease,FALSE
Canary big-eared bat,bats,Plecotus teneriffae,1000,EN,Endangered,Decrease,FALSE
Livingstone's fruit bat,bats,Pteropus livingstonii,1200,EN,Endangered,Decrease,FALSE
New Caledonia Wattled Bat,bats,Chalinolobus neocaledonicus,1500,EN,Endangered,Decrease,FALSE
Azores noctule,bats,Nyctalus azoreum,3500,EN,Endangered,Decrease,FALSE
Rodrigues flying fox,bats,Pteropus rodricensis,4000,CR,Critically Endangered,Increase,FALSE
Coastal sheath-tailed bat,bats,Taphozous australis,5000,NT,Near Threatened,Decrease,FALSE
Thailand Roundleaf Bat,bats,Hipposideros halophyllus,6000,VU,Vulnerable,Decrease,FALSE
Kitti's hog-nosed bat,bats,Craseonycteris thonglongyai,6600,VU,Vulnerable,Decrease,FALSE
Ghost Bat,bats,Macroderma gigas,8000,VU,Vulnerable,Decrease,FALSE
Giant golden-crowned flying fox,bats,Acerodon jubatus,10000,EN,Endangered,Unknown,FALSE
Banana bat,bats,Musonycteris harrisoni,10000,VU,Vulnerable,Decrease,FALSE
Comoro rousette,bats,Rousettus obliviosus,12000,VU,Vulnerable,Decrease,FALSE
Pemba Flying Fox,bats,Pteropus voeltzkowi,19000,VU,Vulnerable,Increase,FALSE
Mauritian flying fox,bats,Pteropus niger,25000,EN,Endangered,Decrease,FALSE
New Zealand lesser short-tailed bat,bats,Mystacina tuberculata,30000,VU,Vulnerable,Decrease,FALSE
Madagascan flying fox,bats,Pteropus rufus,300000,VU,Vulnerable,Decrease,FALSE
Little brown bat,bats,Myotis lucifugus,300000,EN,Endangered,Decrease,FALSE
Indiana bat,bats,Myotis sodalis,387300,EN,Endangered,Decrease,FALSE
Grey-headed flying fox,bats,Pteropus poliocephalus,500000,VU,Vulnerable,Decrease ,FALSE
Iriomote cat,carnivore,Prionailurus bengalensis iriomotensis,100,CR,Critically Endangered,Decrease,FALSE
Amur Leopard,carnivore,Panthera pardus orientalis,103,CR,Critically Endangered,Steady,FALSE
Malabar large-spotted civet,carnivore,Viverra civettina,250,CR,Critically Endangered,Unknown,FALSE
Darwin's fox,carnivore,Pseudalopex fulvipes,250,EN,Endangered,Increase,FALSE
Black-footed ferret,carnivore,Mustela nigripes,300,EN,Endangered,Increase,FALSE
Red wolf,carnivore,Canis rufus,300,CR,Critically Endangered,Increase,FALSE
Saimaa ringed seal,carnivore,Pusa hispida saimensis,380,EN,Endangered,Steady,FALSE
Cozumel raccoon,carnivore,Procyon pygmaeus,500,CR,Critically Endangered,Decrease,FALSE
Ethiopian wolf,carnivore,Canis simensis,500,EN,Endangered,Decrease,FALSE
Siberian tiger,carnivore,Panthera tigris tigris,560,EN,Endangered,Increase,FALSE
Asiatic lion,carnivore,Panthera leo leo,674,EN,Endangered,Increase,FALSE
Mediterranean monk seal,carnivore,Monachus monachus,700,EN,Endangered,Decrease,FALSE
Iberian lynx,carnivore,Lynx pardinus,855,EN,Endangered,Increase,FALSE
Marine otter,carnivore,Lontra felina,1000,EN,Endangered,Decrease,FALSE
Hawaiian monk seal,carnivore,Neomonachus schauinslandi,1400,EN,Endangered,Steady,FALSE
Giant panda,carnivore,Ailuropoda melanoleuca,1800,VU,Vulnerable,Increase,FALSE
Bay cat,carnivore,Pardofelis badia,2200,EN,Endangered,Decrease,FALSE
Dhole,carnivore,Cuon alpinus,2500,EN,Endangered,Decrease,FALSE
Fossa,carnivore,Cryptoprocta ferox,2500,VU,Vulnerable,Decrease,FALSE
Andean mountain cat,carnivore,Leopardus jacobita,2500,EN,Endangered,Decrease,FALSE
Bengal Tiger,carnivore,Panthera tigris tigris,2967,EN,Endangered,Increase,FALSE
Giant otter,carnivore,Pteronura brasiliensis,3000,EN,Endangered,Decrease,FALSE
Grandidier's mongoose,carnivore,Galidictis grandidieri,3000,EN,Endangered,Decrease,FALSE
Snow leopard,carnivore,Panthera uncia,3000,VU,Vulnerable,Decrease,FALSE
Tiger,carnivore,Panthera tigris,4000,EN,Endangered,Increase,FALSE
Island fox,carnivore,Urocyon littoralis,4001,NT,Near Threatened,Increase,FALSE
Sunda clouded leopard,carnivore,Neofelis diardi,4500,VU,Vulnerable,Decrease,FALSE
African wild dog,carnivore,Lycaon pictus,6600,EN,Endangered,Decrease,FALSE
Cheetah,carnivore,Acinonyx jubatus,7100,VU,Vulnerable,Decrease,FALSE
Brown hyena,carnivore,Parahyaena brunnea,8000,NT,Near Threatened,Decrease,FALSE
Eurasian lynx,carnivore,Lynx lynx,8000,LC,Least Concern,Steady,FALSE
Marbled cat,carnivore,Pardofelis marmorata,10000,VU,Vulnerable,Decrease,FALSE
Rusty-spotted cat,carnivore,Prionailurus rubiginosus,10000,VU,Vulnerable,Decrease,FALSE
Clouded leopard,carnivore,Neofelis nebulosa,10000,VU,Vulnerable,Decrease,FALSE
Red panda,carnivore,Ailurus fulgens,10000,VU,Vulnerable,Increase,FALSE
African golden cat,carnivore,Caracal aurata,10000,VU,Vulnerable,Decrease,FALSE
Chinese mountain cat,carnivore,F. bieti,10000,VU,Vulnerable,Decrease,FALSE
New Zealand sea lion,carnivore,Phocarctos hookeri,11855,EN,Endangered,Decrease,FALSE
Juan Fernández fur seal,carnivore,Arctophoca philippii,12000,NT,Near Threatened,Increase,FALSE
Galápagos fur seal,carnivore,Arctophoca galapagoensis,12500,EN,Endangered,Decrease,FALSE
Australian sea lion,carnivore,Neophoca cinerea,13790,EN,Endangered,Decrease,FALSE
Striped hyena,carnivore,Hyaena hyaena,14000,NT,Near Threatened,Decrease,FALSE
Sechuran fox,carnivore,Lycalopex sechurae,15000,NT,Near Threatened,Unknown,FALSE
Guadalupe fur seal,carnivore,Arctophoca townsendi,16000,NT,Near Threatened,Increase,FALSE
Kodkod,carnivore,Leopardus guigna,18000,VU,Vulnerable,Decrease,FALSE
Leopard seal,carnivore,Hydrurga leptonyx,18000,LC,Least Concern,Unknown,FALSE
Lion,carnivore,Panthera leo,20000,VU,Vulnerable,Increase,FALSE
Sloth bear,carnivore,Melursus ursinus,20000,VU,Vulnerable,Decrease,FALSE
Maned wolf,carnivore,Chrysocyon brachyurus,23600,NT,Near Threatened,Unknown,FALSE
Polar bear,carnivore,Ursus maritimus,25000,VU,Vulnerable,Steady,FALSE
Galápagos sea lion,carnivore,Zalophus wollebaeki,30000,EN,Endangered,Decrease,FALSE
Spotted hyena,carnivore,Crocuta crocuta,37000,LC,Least Concern,Decrease,FALSE
Cougar,carnivore,Puma concolor,50000,LC,Least Concern,Decrease,FALSE
Jaguar,carnivore,Panthera onca,64000,NT,Near Threatened,Decrease,FALSE
Leopard,carnivore,Panthera pardus,75000,VU,Vulnerable,Decrease,FALSE
Baikal seal,carnivore,Pusa sibirica,90000,LC,Least Concern,Steady,FALSE
Sea otter,carnivore,Enhydra lutris,106822,EN,Endangered,Decrease,FALSE
Bush dog,carnivore,Speothos venaticus,110000,NT,Near Threatened,Decrease,FALSE
Caspian seal,carnivore,Pusa caspica,111000,EN,Endangered,Decrease,FALSE
Ross seal,carnivore,Ommatophoca rossii,130000,LC,Least Concern,Unknown,FALSE
Steller sea lion,carnivore,Eumetopias jubatus,143000,NT,Near Threatened,Increase,FALSE
Northern elephant seal,carnivore,Mirounga angustirostris,171000,LC,Least Concern,Increase,FALSE
California sea lion,carnivore,Zalophus californianus,180000,LC,Least Concern,Increase,FALSE
New Zealand fur seal,carnivore,Arctophoca forsteri,200000,LC,Least Concern,Increase,FALSE
Brown bear,carnivore,Ursus arctos,200000,LC,Least Concern,Steady,FALSE
Subantarctic fur seal,carnivore,Arctophoca tropicalis,200000,LC,Least Concern,Increase,FALSE
South American sea lion,carnivore,Otaria flavescens,250000,LC,Least Concern,Steady,FALSE
South American fur seal,carnivore,Arctophoca australis,275000,LC,Least Concern,Increase,FALSE
Grey wolf,carnivore,Canis lupus,300000,LC,Least Concern,Unknown,FALSE
Weddell seal,carnivore,Leptonychotes weddellii,300000,LC,Least Concern,Unknown,FALSE
Harbor seal,carnivore,Phoca vitulina,315000,LC,Least Concern,Unknown,FALSE
Grey seal,carnivore,Halichoerus grypus,316000,LC,Least Concern,Increase,FALSE
Southern elephant seal,carnivore,Mirounga leonina,325000,LC,Least Concern,Unknown,FALSE
Hooded seal,carnivore,Cystophora cristata,340000,VU,Vulnerable,Decrease,FALSE
Northern fur seal,carnivore,Callorhinus ursinus,650000,VU,Vulnerable,Decrease,FALSE
American black bear,carnivore,Ursus americanus,950000,LC,Least Concern,Increase,FALSE
Brown fur seal,carnivore,Arctocephalus pusillus,1060000,LC,Least Concern,Increase,FALSE
Crabeater seal,carnivore,Lobodon carcinophaga,4000000,LC,Least Concern,Unknown,FALSE
Harp seal,carnivore,Pagophilus groenlandicus,4500000,LC,Least Concern,Increase,FALSE
Cat (domestic),carnivore,Felis catus,600000000,,,Increase,TRUE
Dog (domestic),carnivore,Canis familiaris,900000000,,,Increase,TRUE
Red fox,carnivore,Vulpes vulpes,0,LC,Least Concern,Increase,FALSE
Vaquita,cetacean,Phocoena sinus,12,CR,Critically Endangered,,FALSE
Baiji,cetacean,Lipotes vexillifer,13,CR,Critically Endangered,,FALSE
Rice's whale,cetacean,Balaenoptera ricei,60,CR,Critically Endangered,,FALSE
North Atlantic right whale,cetacean,Eubalaena glacialis,350,CR,Critically Endangered,,FALSE
Perrin's beaked whale,cetacean,Mesoplodon perrini,700,EN,Endangered,,FALSE
Araguaian river dolphin,cetacean,Inia araguaiaensis,1000,VU,Vulnerable,,FALSE
Blue whale,cetacean,Balaenoptera musculus,1000,EN,Endangered,,FALSE
North Pacific right whale,cetacean,Eubalaena japonica,1000,EN,Endangered,,FALSE
Indus river dolphin,cetacean,Platanista minor,1450,EN,Endangered,,FALSE
Atlantic humpback dolphin,cetacean,Sousa teuszii,1500,CR,Critically Endangered,,FALSE
Ganges river dolphin,cetacean,Platanista gangetica,3500,EN,Endangered,,FALSE
La Plata dolphin,cetacean,Pontoporia blainvillei,4200,VU,Vulnerable,,FALSE
Australian snubfin dolphin,cetacean,Orcaella heinsohni,9500,VU,Vulnerable,,FALSE
Australian humpback dolphin,cetacean,Sousa sahulensis,10000,VU,Vulnerable,,FALSE
Bowhead whale,cetacean,Balaena mysticetus,10000,LC,Least Concern,,FALSE
Northern bottlenose whale,cetacean,Hyperoodon ampullatus,10000,NT,Near Threatened,,FALSE
Southern right whale,cetacean,Eubalaena australis,13600,LC,Least Concern,,FALSE
Gray whale,cetacean,Eschrichtius robustus,21000,LC,Least Concern,,FALSE
Commerson's dolphin,cetacean,Cephalorhynchus commersonii,22000,LC,Least Concern,,FALSE
Sei whale,cetacean,Balaenoptera borealis,80000,EN,Endangered,,FALSE
Humpback whale,cetacean,Megaptera novaeangliae,84000,LC,Least Concern,,FALSE
Bryde's whale,cetacean,Balaenoptera brydei,95000,LC,Least Concern,,FALSE
Atlantic spotted dolphin,cetacean,Stenella frontalis,100000,LC,Least Concern,,FALSE
Cuvier's beaked whale,cetacean,Ziphius cavirostris,100000,LC,Least Concern,,FALSE
Fin whale,cetacean,Balaenoptera physalus,100000,VU,Vulnerable,,FALSE
Narwhal,cetacean,Monodon monoceros,123000,LC,Least Concern,,FALSE
Beluga,cetacean,Delphinapterus leucas,136000,LC,Least Concern,,FALSE
Common minke whale,cetacean,Balaenoptera acutorostrata,200000,LC,Least Concern,,FALSE
Atlantic white-sided dolphin,cetacean,Lagenorhynchus acutus,250000,LC,Least Concern,,FALSE
Southern bottlenose whale,cetacean,Hyperoodon planifrons,500000,LC,Least Concern,,FALSE
Antarctic minke whale,cetacean,Balaenoptera bonaerensis,515000,NT,Near Threatened,,FALSE
Common bottlenose dolphin,cetacean,Tursiops truncatus,600000,LC,Least Concern,,FALSE
Harbour porpoise,cetacean,Phocoena phocoena,700000,LC,Least Concern,,FALSE
Sperm whale,cetacean,Physeter macrocephalus,1000000,VU,Vulnerable,,FALSE
Dall's porpoise,cetacean,Phocoenoides dalli,1100000,LC,Least Concern,,FALSE
Narrow-ridged finless porpoise,cetacean,Neophocaena asiaeorientalis,,EN,Endangered,,FALSE
Arnoux's beaked whale,cetacean,Berardius arnuxii,,LC,Least Concern,,FALSE
Baird's beaked whale,cetacean,Berardius bairdii,,LC,Least Concern,,FALSE
Chilean dolphin,cetacean,Cephalorhynchus eutropia,,NT,Near Threatened,,FALSE
Common dolphin,cetacean,Delphinus delphis,,LC,Least Concern,,FALSE
Dwarf sperm whale,cetacean,Kogia sima,,LC,Least Concern,,FALSE
False killer whale,cetacean,Pseudorca crassidens,,NT,Near Threatened,,FALSE
Fraser's dolphin,cetacean,Lagenodelphis hosei,,LC,Least Concern,,FALSE
Pygmy sperm whale,cetacean,Kogia breviceps,,LC,Least Concern,,FALSE
Shepherd's beaked whale,cetacean,Tasmacetus shepherdi,,DD,Data Deficient,,FALSE
Tropical bottlenose whale,cetacean,Indopacetus pacificus,,LC,Least Concern,,FALSE
Amazon river dolphin,cetacean,Inia geoffrensis,,EN,Endangered,,FALSE
Andrews' beaked whale,cetacean,Mesoplodon bowdoini,,DD,Data Deficient,,FALSE
Blainville's beaked whale,cetacean,Mesoplodon densirostris,,LC,Least Concern,,FALSE
Burmeister's porpoise,cetacean,Phocoena spinipinnis,,NT,Near Threatened,,FALSE
Clymene dolphin,cetacean,Stenella clymene,,LC,Least Concern,,FALSE
Deraniyagala's beaked whale,cetacean,Mesoplodon hotaula,,DD,Data Deficient,,FALSE
Dusky dolphin,cetacean,Lagenorhynchus obscurus,,LC,Least Concern,,FALSE
Eden's whale,cetacean,Balaenoptera edeni,,LC,Least Concern,,FALSE
Gervais' beaked whale,cetacean,Mesoplodon europaeus,,LC,Least Concern,,FALSE
Ginkgo-toothed beaked whale,cetacean,Mesoplodon ginkgodens,,DD,Data Deficient,,FALSE
Gray's beaked whale,cetacean,Mesoplodon grayi,,LC,Least Concern,,FALSE
Hector's beaked whale,cetacean,Mesoplodon hectori,,DD,Data Deficient,,FALSE
Hubbs' beaked whale,cetacean,Mesoplodon carlhubbsi,,DD,Data Deficient,,FALSE
Indo-Pacific bottlenose dolphin,cetacean,Tursiops aduncus,,NT,Near Threatened,,FALSE
Indo-Pacific finless porpoise,cetacean,Neophocaena phocaenoides,,VU,Vulnerable,,FALSE
Omura's whale,cetacean,Balaenoptera omurai,,DD,Data Deficient,,FALSE
Pygmy beaked whale,cetacean,Mesoplodon peruvianus,,LC,Least Concern,,FALSE
Pygmy right whale,cetacean,Caperea marginata,,LC,Least Concern,,FALSE
Ramari's beaked whale,cetacean,Mesoplodon eueu,,NE,Not Evaluated,,FALSE
Sato's beaked whale,cetacean,Berardius minimus,,NT,Near Threatened,,FALSE
Sowerby's beaked whale,cetacean,Mesoplodon bidens,,LC,Least Concern,,FALSE
Spade-toothed whale,cetacean,Mesoplodon traversii,,DD,Data Deficient,,FALSE
Spectacled porpoise,cetacean,Phocoena dioptrica,,LC,Least Concern,,FALSE
Stejneger's beaked whale,cetacean,Mesoplodon stejnegeri,,NT,Near Threatened,,FALSE
Strap-toothed whale,cetacean,Mesoplodon layardii,,LC,Least Concern,,FALSE
True's beaked whale,cetacean,Mesoplodon mirus,,LC,Least Concern,,FALSE
Borneo elephant,elephant,Elephas maximus borneensis,1300,EN,Endangered,Decrease,FALSE
Sumatran elephant,elephant,Elephas maximus sumatranus,2600,CR,Critically Endangered,Decrease,FALSE
Sri Lankan elephant,elephant,Elephas maximus maximus,7000,EN,Endangered,Decrease,FALSE
Indian elephant,elephant,Elephas maximus indicus,27312,EN,Endangered,Decrease,FALSE
Asian elephant,elephant,Elephas maximus,50000,EN,Endangered,Decrease,FALSE
African forest elephant,elephant,Loxodonta cyclotis,120000,CR,Critically Endangered,Decrease,FALSE
African bush elephant,elephant,Loxodonta africana,352000,EN,Endangered,Decrease,FALSE
Addax,even-toed ungulates,Addax nasomaculatus,60,CR,Critically Endangered,Decrease,FALSE
Pygmy hog,even-toed ungulates,Porcula salvania,250,CR,Critically Endangered,Decrease,FALSE
Tamaraw,even-toed ungulates,Bubalus mindorensis,300,CR,Critically Endangered,Decrease,FALSE
Bawean deer,even-toed ungulates,Axis kuhlii,350,CR,Critically Endangered,Steady,FALSE
Togian babirusa,even-toed ungulates,Babyrousa togeanensis,500,EN,Endangered,Decrease,FALSE
Walia ibex,even-toed ungulates,Capra walie,500,EN,Endangered,Increase,FALSE
Dama gazelle,even-toed ungulates,Nanger dama,500,CR,Critically Endangered,Decrease,FALSE
Persian fallow deer,even-toed ungulates,Dama mesopotamica,715,EN,Endangered,Increase,FALSE
Saola,even-toed ungulates,Pseudoryx nghetinhensis,750,CR,Critically Endangered,Decrease,FALSE
Anhui musk deer,even-toed ungulates,Moschus anhuiensis,750,EN,Endangered,Decrease,FALSE
Przewalski's gazelle,even-toed ungulates,Procapra przewalskii,750,EN,Endangered,Increase,FALSE
Wild Bactrian camel,even-toed ungulates,Camelus ferus,950,CR,Critically Endangered,Decrease,FALSE
Calamian deer,even-toed ungulates,Axis calamianensis,1123,EN,Endangered,Decrease,FALSE
South Andean deer,even-toed ungulates,Hippocamelus bisulcus,1200,EN,Endangered,Decrease,FALSE
Hirola,even-toed ungulates,Beatragus hunteri,1250,CR,Critically Endangered,Decrease,FALSE
Abbott's duiker,even-toed ungulates,Cephalophus spadix,1500,EN,Endangered,Decrease,FALSE
Cuvier's gazelle,even-toed ungulates,Gazella cuvieri,2200,EN,Endangered,unknown,FALSE
Nilgiri tahr,even-toed ungulates,Nilgiritragus hylocrius,2400,EN,Endangered,Decrease,FALSE
Pygmy hippopotamus,even-toed ungulates,Choeropsis liberiensis,2500,EN,Endangered,Decrease,FALSE
Mountain anoa,even-toed ungulates,Bubalus quarlesi,2500,EN,Endangered,Decrease,FALSE
Rhim gazelle,even-toed ungulates,Gazella leptoceros,2500,EN,Endangered,Decrease,FALSE
Visayan spotted deer,even-toed ungulates,Rusa alfredi,2500,EN,Endangered,Decrease,FALSE
